material_category,material_grade,thickness_mm,reference_basis,sample_count_band,recommended_price_per_kg_ex_tax_rounded,conservative_price_per_kg_ex_tax_rounded,recommended_price_per_kg_inc_tax_rounded,conservative_price_per_kg_inc_tax_rounded,recommended_price_per_m2_ex_tax_rounded,conservative_price_per_m2_ex_tax_rounded,recommended_price_per_m2_inc_tax_rounded,conservative_price_per_m2_inc_tax_rounded,pricing_mode_default,editable,confidence_band,warning,notes
plate,SECC,1,cut_or_shaped_plate_bounding_box,2-5,1370,1780,1510,1960,10700,13910,11770,15310,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SPCC,1,cut_or_shaped_plate_bounding_box,6-20,3770,4890,4150,5380,29530,38390,32490,42230,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SUS304,1.5,cut_or_shaped_plate_bounding_box,2-5,2070,2690,2280,2960,24570,31940,27030,35140,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,1.6,cut_or_shaped_plate_bounding_box,6-20,510,1010,570,1120,6300,12590,6930,13850,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,A5052,2,cut_or_shaped_plate_bounding_box,2-5,3580,4660,3940,5130,19330,25130,21270,27650,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SEHC,2,insufficient_data,1,430,560,480,620,6670,8670,7340,9540,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SGHC,2,insufficient_data,1,450,590,500,650,7040,9150,7750,10070,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SUS304,2,cut_or_shaped_plate_bounding_box,2-5,1880,3750,2070,4130,29730,59450,32710,65400,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,2.3,cut_or_shaped_plate_bounding_box,6-20,340,680,380,750,6090,12170,6700,13390,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,ムキ,2.3,cut_or_shaped_plate_bounding_box,2-5,260,330,290,370,4550,5910,5010,6510,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SUS304,2.5,insufficient_data,1,1490,1940,1640,2140,29510,38360,32470,42200,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SEHC,2.6,insufficient_data,1,420,540,470,600,8460,11000,9310,12100,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SUS304,3,insufficient_data,1,1470,1910,1620,2110,34820,45260,38310,49790,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SEHC,3.2,insufficient_data,1,410,530,460,590,10130,13160,11150,14480,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SGHC,3.2,insufficient_data,1,420,540,470,600,10440,13570,11490,14930,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,3.2,cut_or_shaped_plate_bounding_box,2-5,290,370,320,410,7070,9190,7780,10110,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,XS62,3.2,cut_or_shaped_plate_bounding_box,2-5,570,740,630,820,14160,18410,15580,20260,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SUS304,4,insufficient_data,1,1270,1650,1400,1820,40160,52210,44180,57440,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,4.5,cut_or_shaped_plate_bounding_box,6-20,280,550,310,610,9660,19320,10630,21260,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,6,cut_or_shaped_plate_bounding_box,2-5,270,360,300,400,12720,16540,14000,18200,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SUS304,6,insufficient_data,1,1250,1630,1380,1800,59390,77210,65330,84940,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,9,insufficient_data,1,260,340,290,380,18340,23840,20180,26230,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,12,cut_or_shaped_plate_bounding_box,21+,300,600,330,660,27840,55680,30630,61250,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,16,cut_or_shaped_plate_bounding_box,2-5,320,410,360,460,39490,51330,43440,56470,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,19,cut_or_shaped_plate_bounding_box,2-5,260,340,290,380,38020,49430,41830,54380,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SUS304,20,cut_or_shaped_plate_bounding_box,2-5,1200,1550,1320,1710,188890,245560,207780,270120,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,22,insufficient_data,1,210,270,240,300,34670,45070,38140,49580,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,25,insufficient_data,1,210,270,240,300,39370,51180,43310,56300,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,32,insufficient_data,1,210,270,240,300,50800,66040,55880,72650,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,36,insufficient_data,1,210,270,240,300,57380,74600,63120,82060,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
plate,SS400,40,cut_or_shaped_plate_bounding_box,2-5,360,490,400,540,111040,153500,122150,168850,median,true,medium,切板・型切由来の外接矩形ベース参考価格。実取引価格ではなく概算用。,板厚別に集約・10円単位切り上げ済み。手入力変更可。
